1910	minimum-impossible-or	0
1911	kill-process	0
1912	sum-in-a-matrix	0
1913	minimum-swaps-to-avoid-forbidden-values	0
1914	longest-common-prefix-after-at-most-one-removal	0
1915	apply-operations-to-maximize-score	0
1916	letter-tile-possibilities	0
1918	minimize-the-total-price-of-the-trips	0
1919	sum-of-digit-differences-of-all-pairs	1
1921	tuple-with-same-product	0
1922	cells-with-odd-values-in-a-matrix	0
1923	short-encoding-of-words	0
1924	path-sum-iv	0
1925	matchsticks-to-square	0
1926	maximum-number-of-points-from-grid-queries	0
1928	distribute-money-to-maximum-children	0
1929	maximum-xor-of-two-numbers-in-an-array	0
1930	find-k-pairs-with-smallest-sums	0
1931	maximum-elegance-of-a-k-length-subsequence	0
1932	count-subarrays-with-majority-element-i	0
1933	sum-of-largest-prime-substrings	0
1934	n-th-tribonacci-number	0
1935	minimum-moves-to-move-a-box-to-their-target-location	0
1937	tag-validator	0
1938	all-divisions-with-the-highest-score-of-a-binary-array	0
1939	find-all-k-distant-indices-in-an-array	0
1940	frog-jump	0
1941	minimum-time-to-revert-word-to-initial-state-i	0
1942	longest-string-chain	0
1943	walls-and-gates	0
1944	shortest-subarray-to-be-removed-to-make-array-sorted	0
1945	minimum-time-to-visit-a-cell-in-a-grid	0
1947	increasing-decreasing-string	0
1948	minimum-time-to-activate-string	0
1949	closest-room	0
1950	binary-tree-coloring-game	0
1951	count-univalue-subtrees	0
1952	fizz-buzz-multithreaded	1
1953	path-with-maximum-gold	0
1954	all-ancestors-of-a-node-in-a-directed-acyclic-graph	0
1956	number-of-segments-in-a-string	0
1957	reverse-words-with-same-vowel-count	0
1960	count-number-of-possible-root-nodes	0
1961	maximize-the-number-of-target-nodes-after-connecting-trees-ii	0
1962	merge-intervals	0
1963	triples-with-bitwise-and-equal-to-zero	0
1964	validate-binary-tree-nodes	0
1965	number-of-people-that-can-be-seen-in-a-grid	0
1966	count-stepping-numbers-in-range	0
1967	arithmetic-slices-ii-subsequence	0
1968	count-dominant-indices	0
1969	strictly-palindromic-number	0
1970	number-of-ways-where-square-of-number-is-equal-to-product-of-two-numbers	0
1971	minimum-operations-to-transform-string	0
1972	split-array-with-same-average	0
1973	remove-zero-sum-consecutive-nodes-from-linked-list	0
1974	valid-tic-tac-toe-state	0
1975	find-the-minimum-number-of-fibonacci-numbers-whose-sum-is-k	0
1976	detect-squares	0
1978	most-expensive-item-that-can-not-be-bought	0
1979	decode-the-slanted-ciphertext	0
1980	stamping-the-sequence	0
1982	palindrome-pairs	0
1983	reverse-subarray-to-maximize-array-value	0
1984	find-maximum-number-of-string-pairs	0
1985	minimum-depth-of-binary-tree	0
1986	increasing-order-search-tree	0
1987	minimum-moves-to-balance-circular-array	0
1988	minimum-operations-to-reduce-an-integer-to-0	1
1989	count-number-of-balanced-permutations	1
1990	check-if-numbers-are-ascending-in-a-sentence	0
1991	find-the-winner-of-the-circular-game	0
1992	contiguous-array	0
1994	number-of-excellent-pairs	0
1996	find-the-number-of-copy-arrays	0
1997	number-of-unique-categories	1
1998	shortest-word-distance-iii	0
1999	count-of-interesting-subarrays	0
2000	maximum-level-sum-of-a-binary-tree	0
2001	substrings-that-begin-and-end-with-the-same-letter	0
2002	find-the-grid-of-region-average	0
2003	separate-black-and-white-balls	0
2004	number-of-student-replacements	0
2005	fair-candy-swap	0
2006	find-peak-element	0
2007	making-file-names-unique	0
2008	sparse-matrix-multiplication	0
2010	minimum-absolute-difference-queries	0
2011	maximum-deletions-on-a-string	0
2012	fruit-into-baskets	0
2013	number-of-recent-calls	0
2014	minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix	0
2015	count-unguarded-cells-in-the-grid	0
2016	check-if-two-string-arrays-are-equivalent	0
2017	escape-a-large-maze	0
2018	longest-common-subpath	0
2019	meeting-scheduler	0
2020	find-the-middle-index-in-array	0
2022	longest-alternating-subarray	0
2023	path-existence-queries-in-a-graph-i	0
2024	minimum-time-for-k-virus-variants-to-spread	0
2025	minimum-absolute-distance-between-mirror-pairs	0
2026	online-stock-span	0
2027	before-and-after-puzzle	0
2028	count-vowels-permutation	0
2029	minimum-consecutive-cards-to-pick-up	0
2030	inorder-successor-in-bst	1
2031	count-days-without-meetings	0
2032	minimum-operations-to-make-array-values-equal-to-k	0
2033	earliest-finish-time-for-land-and-water-rides-i	0
2034	palindrome-partitioning-iv	0
2035	spiral-matrix-iv	0
2036	valid-palindrome-iii	0
2037	construct-2d-grid-matching-graph-layout	1
2039	longest-almost-palindromic-substring	0
2040	number-of-ships-in-a-rectangle	1
2041	unique-paths-iii	0
2043	make-number-of-distinct-characters-equal	0
2044	count-of-substrings-containing-every-vowel-and-k-consonants-i	0
2045	connecting-cities-with-minimum-cost	0
2046	unique-substrings-with-equal-digit-frequency	1
2047	add-two-numbers	0
2048	call-function-with-custom-context	0
2050	number-of-distinct-islands	0
2051	maximum-score-of-a-node-sequence	0
2052	maximal-score-after-applying-k-operations	0
2053	search-a-2d-matrix	0
2055	find-valid-pair-of-adjacent-digits-in-string	0
2056	minimum-hours-of-training-to-win-a-competition	0
2057	design-a-text-editor	0
2058	smallest-rotation-with-highest-score	0
2059	count-and-say	0
2060	allocate-mailboxes	0
2061	high-five	0
2062	x-of-a-kind-in-a-deck-of-cards	0
2063	find-kth-bit-in-nth-binary-string	0
2064	maximum-difference-score-in-a-grid	0
2065	the-most-similar-path-in-a-graph	0
2066	lexicographically-smallest-negated-permutation-that-sums-to-target	0
2067	sum-of-elements-with-frequency-divisible-by-k	0
2068	strobogrammatic-number-iii	0
2069	apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k	0
2070	sum-of-all-subset-xor-totals	0
2071	alternating-groups-iii	0
2072	minimum-swaps-to-group-all-1s-together	0
2073	super-ugly-number	0
2074	remove-duplicates-from-sorted-list	0
2075	minimize-rounding-error-to-meet-target	0
2076	find-the-largest-area-of-square-inside-two-rectangles	1
2078	find-minimum-time-to-finish-all-jobs-ii	0
2079	construct-string-from-binary-tree	0
2080	rectangle-area-ii	0
2081	longest-repeating-substring	0
2082	sort-by	1
2084	slowest-key	0
2086	groups-of-special-equivalent-strings	0
2087	minimum-path-cost-in-a-grid	0
2088	countries-you-can-safely-invest-in	0
2089	largest-1-bordered-square	0
2090	similar-string-groups	0
2091	maximum-score-from-removing-stones	0
2093	student-attendance-record-ii	0
2094	find-beautiful-indices-in-the-given-array-i	1
2095	difference-between-element-sum-and-digit-sum-of-an-array	0
2096	implement-queue-using-stacks	0
2097	new-21-game	0
2098	count-substrings-that-can-be-rearranged-to-contain-a-string-i	0
2099	longest-substring-of-one-repeating-character	0
2100	rotated-digits	0
2101	count-substrings-with-only-one-distinct-letter	0
2102	subarrays-with-xor-at-least-k	0
2103	integer-replacement	0
2105	clumsy-factorial	0
2106	arranging-coins	0
2107	count-pairs-of-equal-substrings-with-minimum-difference	0
2108	house-robber	0
2109	group-by	0
2110	find-first-palindromic-string-in-the-array	0
2111	find-products-of-elements-of-big-array	0
2112	find-the-number-of-distinct-colors-among-the-balls	0
2113	minimum-number-of-days-to-disconnect-island	0
2114	adjacent-increasing-subarrays-detection-i	0
2115	longest-cycle-in-a-graph	0
2116	find-indices-of-stable-mountains	0
2117	apply-operations-to-make-string-empty	0
2118	maximize-greatness-of-an-array	0
2119	number-of-sub-arrays-with-odd-sum	0
2120	maximum-element-after-decreasing-and-rearranging	0
2121	maximum-number-of-potholes-that-can-be-fixed	0
2123	self-dividing-numbers	0
2124	water-bottles	0
2125	generate-a-string-with-characters-that-have-odd-counts	0
2127	diagonal-traverse	0
2129	minimum-suffix-flips	0
2130	maximum-number-of-achievable-transfer-requests	0
2131	convert-date-to-binary	0
2132	longest-substring-with-at-most-two-distinct-characters	0
2133	sum-of-beauty-in-the-array	0
2134	get-biggest-three-rhombus-sums-in-a-grid	0
2135	check-if-a-string-is-a-valid-sequence-from-root-to-leaves-path-in-a-binary-tree	0
2136	design-parking-system	0
2137	sum-of-digits-of-string-after-convert	0
2138	validate-ip-address	0
2139	find-smallest-common-element-in-all-rows	0
2140	greatest-common-divisor-traversal	0
2141	number-of-effective-subsequences	0
2142	eliminate-maximum-number-of-monsters	0
2143	substring-matching-pattern	0
2144	logical-or-of-two-binary-grids-represented-as-quad-trees	1
2145	lexicographical-numbers	0
2146	event-emitter	1
2148	check-if-all-the-integers-in-a-range-are-covered	0
2149	minimum-cost-of-buying-candies-with-discount	0
2151	transpose-matrix	0
2152	weighted-word-mapping	0
2153	count-pairs-whose-sum-is-less-than-target	0
2154	shift-distance-between-two-strings	0
2155	generate-parentheses	0
2156	recover-binary-search-tree	0
2157	minimum-speed-to-arrive-on-time	0
2158	resulting-string-after-adjacent-removals	0
2159	convert-doubly-linked-list-to-array-i	1
2160	range-product-queries-of-powers	1
2161	maximum-length-substring-with-two-occurrences	0
2162	find-the-level-of-tree-with-minimum-sum	0
2163	finding-the-number-of-visible-mountains	0
2164	longest-substring-without-repeating-characters	0
2165	squirrel-simulation	0
2166	find-the-lexicographically-largest-string-from-the-box-ii	0
2168	path-crossing	0
2169	implement-trie-ii-prefix-tree	1
2170	valid-parenthesis-string	0
2171	get-equal-substrings-within-budget	0
2173	ugly-number-ii	0
2174	convert-doubly-linked-list-to-array-ii	1
2175	search-a-2d-matrix-ii	0
2176	total-distance-traveled	1
2178	permutations	0
2179	course-schedule-iii	0
2180	clone-binary-tree-with-random-pointer	1
2181	maximum-fruits-harvested-after-at-most-k-steps	0
2182	check-if-the-sentence-is-pangram	0
2183	earliest-second-to-mark-indices-ii	0
2185	minimum-difficulty-of-a-job-schedule	0
2186	stone-game	0
2187	maximum-total-area-occupied-by-pistons	0
2188	minimum-amount-of-time-to-fill-cups	1
2189	find-nearest-point-that-has-the-same-x-or-y-coordinate	0
2190	maximum-distance-between-unequal-words-in-array-ii	0
2191	find-minimum-in-rotated-sorted-array-ii	0
2192	sentence-similarity	0
2193	guess-the-number-using-bitwise-questions-ii	1
2194	smallest-number-with-given-digit-product	0
2195	minimum-time-to-make-rope-colorful	0
2196	once-twice	0
2197	count-substrings-without-repeating-character	0
2198	largest-subarray-length-k	0
2199	two-letter-card-game	0
2200	largest-substring-between-two-equal-characters	0
2201	power-of-heroes	0
2202	to-lower-case	0
2203	find-the-number-of-good-pairs-ii	0
2205	make-lexicographically-smallest-array-by-swapping-elements	0
2206	compute-alternating-sum	0
2207	fancy-sequence	0
2208	check-if-array-is-sorted-and-rotated	0
2209	query-kth-smallest-trimmed-number	0
2210	sum-of-absolute-differences-in-a-sorted-array	0
2211	string-compression	0
2212	put-marbles-in-bags	0
2213	minimum-space-wasted-from-packaging	0
2214	last-moment-before-all-ants-fall-out-of-a-plank	0
2215	cutting-ribbons	0
2216	jewels-and-stones	0
2217	find-maximum-number-of-non-intersecting-substrings	0
2218	ant-on-the-boundary	0
2219	the-k-weakest-rows-in-a-matrix	1
2220	find-the-k-beauty-of-a-number	1
2221	find-common-characters	0
2222	smallest-subtree-with-all-the-deepest-nodes	0
2223	closest-prime-numbers-in-range	0
2224	number-of-equivalent-domino-pairs	0
2226	maximum-total-importance-of-roads	0
2227	palindrome-number	0
2228	find-the-largest-palindrome-divisible-by-k	0
2229	determine-if-a-cell-is-reachable-at-a-given-time	0
2230	longest-continuous-increasing-subsequence	0
2232	minimize-string-length	0
2233	two-sum-ii-input-array-is-sorted	0
2234	monotone-increasing-digits	0
2235	count-good-numbers	0
2236	convert-number-words-to-digits	0
2237	find-the-lexicographically-largest-string-from-the-box-i	0
2238	minimum-window-substring	0
2239	count-of-integers	0
2240	path-with-maximum-minimum-value	0
2241	maximum-vacation-days	0
2242	number-of-perfect-pairs	0
2243	max-value-of-equation	0
2245	remove-all-ones-with-row-and-column-flips	0
2247	maximum-k-to-sort-a-permutation	0
2248	minimum-relative-loss-after-buying-chocolates	0
2249	check-if-number-is-a-sum-of-powers-of-three	0
2250	valid-word	0
2251	largest-rectangle-in-histogram	0
2252	n-queens	0
2254	maximum-and-sum-of-array	1
2256	make-array-non-decreasing	0
2257	count-complete-subarrays-in-an-array	0
2258	number-of-valid-words-for-each-puzzle	0
2259	count-anagrams	0
2261	append-k-integers-with-minimal-sum	0
2263	last-stone-weight-ii	0
2264	maximum-length-of-semi-decreasing-subarrays	0
2265	minimum-operations-to-make-array-elements-zero	0
2266	longest-common-prefix	0
2269	sqrtx	0
2270	maximum-possible-number-by-binary-concatenation	0
2271	zero-array-transformation-i	0
2272	maximum-containers-on-a-ship	0
2273	next-special-palindrome-number	0
2274	movement-of-robots	1
2275	number-of-provinces	0
2276	minimum-incompatibility	0
2277	edit-distance	0
2278	minimum-falling-path-sum	0
2279	find-lucky-integer-in-an-array	0
2281	construct-the-lexicographically-largest-valid-sequence	0
2282	palindrome-permutation	0
2283	moving-stones-until-consecutive	0
2284	minimize-maximum-value-in-a-grid	0
2285	merge-sorted-array	0
2286	count-days-spent-together	0
2287	minimum-cost-to-acquire-required-items	0
2288	count-complete-tree-nodes	0
2289	sum-of-numbers-with-units-digit-k	0
2290	sorted-gcd-pair-queries	0
2291	maximum-product-after-k-increments	1
2293	count-the-number-of-complete-components	0
